1,,,,,2,,,,,3,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.79320560476764,10.2612651208749,1146.85882352941,0.815177887502214,,10.4272635693275,45.6303395817808,1465.52941176471,0.515978865936374,,1.45323652287092,3.84584323869365,2349.34117647059,0.410783288391593,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
409.772727272727,296.498337028825,1804,0.515380993401665,0,824.032154340836,501.630627009646,2488,0.895519572505389,0,846.177833437696,53.9696305572949,3194,0.449567506288895,0
412.580935251799,298.941247002398,1668,0.525370127205576,3.72207485049716,819.609258337481,511.864609258338,2009,0.711007821158514,11.1488296122516,849.493079052599,55.0707474623193,3251,0.407838743627061,3.4933239079232
420.440667490729,305.849814585909,1618,0.588151163624452,10.4644014125806,817.596164383562,506.522739726027,1825,0.606335558767131,5.70860029845592,849.962670713202,60.5162367223065,3295,0.483123072287973,5.46569937046887
420.660784313726,305.749019607843,1530,0.586635859443986,0.242097177532375,822.027349228611,514.354838709677,1426,0.227460102316901,8.99873177846138,851.234552332913,59.6863177805801,3172,0.468366775630814,1.5186995438188
423.698496240602,307.15037593985,1330,0.708857998173467,3.34536893629676,825.639416058394,519.81897810219,1370,0.275190862978712,6.55010275366901,851.875402446877,61.8197037990985,3106,0.472078752235616,2.22756027361274
424.413351314902,304.924477410654,1483,0.589274988237174,2.33787126239409,824.802106847254,516.905191873589,1329,0.214949296629339,3.03170527938384,853.988099285957,61.8945936756205,2941,0.482272905716971,2.11402375281461
425.434382194935,306.567152724482,1303,0.763275678786213,1.9341370801056,820.748389866896,510.62730785745,2329,0.721689904585464,7.47291436301416,854.05,64.4028985507246,2760,0.464006591843552,2.50906856121351
427.483358547655,308.47049924357,1322,0.709608463563487,2.79661081771009,825.156906906907,517.891141141141,1332,0.161813479761553,8.49695807129443,854.647153815099,66.7202260799354,2477,0.500318295367932,2.39303145748762
428.972592012529,308.737666405638,1277,0.928023207476653,1.51300846177042,815.912052117264,521.149371800838,2149,0.886116745146261,9.80221439845972,853.372790793259,71.193588162762,2433,0.542483255464804,4.65134060626644
428.943719412724,309.433931484502,1226,0.727235588003944,0.69686346371822,834.091616766467,516.840119760479,1670,0.906685850651093,18.6833140524343,851.140513251998,72.3357172907026,2377,0.613010155643658,2.50749316372123
429.833733013589,312.599520383693,1251,0.97251414138964,3.28832438916892,827.535092348285,513.593667546174,1895,0.871748327703615,7.31624660778895,850.157173447538,73.5550321199143,2335,0.571165457998454,1.56642453497536
429.756841282252,313.882720875684,1279,0.721440346332606,1.28550217463612,825.992592592593,517.513888888889,1080,0.292770070341094,4.21277116304543,853.83843537415,75.2772108843537,2352,0.484196070646079,4.06418369036269
431.496246872394,313.716430358632,1199,0.849653251799051,1.74733635659492,822.850216791486,515.986204178163,2537,0.444452281745812,3.49404439736608,853.411174305788,76.3616594178655,2989,0.420047219561348,1.16558167554808
431.758828596038,311.826873385013,1161,0.959694741855012,1.90771452742417,814.3928136419,512.238124238733,1642,0.927954360541636,9.25071733796802,857.958837772397,79.0228294707714,2891,0.391847401146467,5.26906719031135
431.615324472244,314.452697419859,1279,0.797791754215039,2.62974243900855,825.168961201502,515.387984981227,1598,0.163256577000381,11.2270645728708,860.245120740986,77.7651339728746,3023,0.457246154752314,2.6093845592185
433.537634408602,314.087813620072,1116,0.970008948477897,1.95663376204365,825.402994791667,520.662760416667,1536,0.208688160630575,5.27996473621253,862.720515361744,78.5120581433763,3027,0.361392916256095,2.58562840426853
432.857269503546,314.063829787234,1128,0.89121038700968,0.680787505958764,833.641025641026,515.721445221445,1716,0.902281252274425,9.60633895578936,862.670510132774,79.3312368972746,2862,0.42853292714239,0.820703572407728
436.345186470078,316.841283607979,1153,0.949492539009198,4.45867855892225,824.32193877551,514.221428571429,1960,0.492756837963483,9.43903755461068,862.804980708523,79.5776920378814,2851,0.370604263338701,0.280753400823194
434.933389544688,314.106239460371,1186,0.921177012962183,3.07792739483995,821.020841086714,516.529586899888,2687,0.429189431500791,4.02800705314859,863.426080892608,78.9731520223152,2868,0.416692634514177,0.866737601059829
435.57937806874,312.419803600655,1222,0.962645431212483,1.80592554723155,811.273796791444,517.52513368984,1870,0.803783080668347,9.79775412556051,863.197040779502,78.2320461927102,2771,0.386986830494153,0.775691449022187
435.72028526149,313.898573692552,1262,0.998804542815436,1.48546821630663,814.3536121673,512.647079156585,2893,0.660333629651482,5.76894087149189,863.050637522769,80.3377049180328,2745,0.396374911674842,2.11074218726713
435.865021770682,313.890420899855,1378,0.976751386953486,0.144965944697271,821.716520039101,500.907135874878,1023,0.380122684935961,13.8578021556925,863.632126348228,81.0816640986132,2596,0.428899543080051,0.944248122319652
435.21445978879,312.257514216084,1231,0.926741984707154,1.75773010732194,833.848706686188,516.941434846266,2049,0.650007647546802,20.1069315496832,862.594975256947,78.8149980966882,2627,0.480153832218898,2.49268071570107
436.370219690806,312.126118795769,1229,0.86926070552774,1.16320492931716,810.989565217391,521.143043478261,2300,0.992875862591051,23.2420709874772,862.356630147337,79.3165848129958,2647,0.467140556942482,0.55533559696049
435.685383244207,312.741532976827,1122,0.740552077165208,0.920725568688893,820.042100694444,511.595920138889,2304,0.695074907525151,13.1565938836953,863.182605421687,78.5293674698795,2656,0.486248133511482,1.14102861451447
437.045267489712,316.445267489712,1215,0.648603987196365,3.9454954699134,832.259747391543,519.608456891818,1821,0.704348395853489,14.6106685689656,863.950570342205,79.848288973384,2630,0.433043919612856,1.52621232191124
437.37756097561,313.319024390244,1025,0.967779340038673,3.14385350767835,823.821229050279,521.451582867784,2148,0.562084018450826,8.637459415773,864.48775671406,79.5292259083728,2532,0.399099129224041,0.624796316859215
436.036885245902,313.040983606557,976,0.994000583267685,1.36920345077762,830.221802142407,521.671707624449,1587,0.332712730420174,6.40435717431236,863.009445100354,79.8295946477765,2541,0.391012103680443,1.50851801673977
437.659877800407,314.084521384929,982,0.954748819063571,1.92952738432733,834.104901960784,507.802941176471,1020,0.591127693975346,14.4021230028091,861.997053406998,79.553591160221,2715,0.484065922477002,1.04934020504278
435.67663981588,312.690448791715,869,0.935909390492579,2.42418466673261,836.124890829694,512.400873362445,1145,0.574107287318139,5.0220847680364,863.395882818686,80.7521773555028,2526,0.437463759386367,1.842100048999
434.746012269939,314.361963190184,815,0.874550087306338,1.91311996841703,826.296887470072,521.604948124501,1253,0.201992353787233,13.464941227583,863.023885350318,79.2742834394904,2512,0.399397913995188,1.52399230426464
436.281990521327,315.296208530806,844,0.874529297285719,1.7977885151517,815.736019736842,504.604440789474,1216,0.523143634719147,20.0137247139831,861.521909511934,78.4713216957606,2807,0.531632927400052,1.70313798060604
437.834838709677,314.756129032258,775,0.921033952653165,1.64408739451846,815.608275862069,518.280459770115,2175,0.907599903177592,13.6766155775616,862.967914438503,78.8009931245225,2618,0.465246729649964,1.48310940210136
436.701846965699,314.20580474934,758,0.993187896724204,1.25957417736776,829.795384615385,518.122307692308,1300,0.536919528234099,14.1879902332262,863.913492063492,79.0019841269841,2520,0.421094212347241,0.966702864354426
437.005277044855,313.127968337731,758,0.982944820857958,1.1197326212662,823.338582677165,516.895275590551,1270,0.270537036043089,6.57235871267936,863.847309136421,78.4914476428869,2397,0.409004826778419,0.514808392928933
436.936111111111,315.468055555556,720,0.968079721880639,2.34110916307147,813.418729817007,519.249192680301,1858,0.887103103459867,10.195312963936,864.215942640236,79.0569380008435,2371,0.399604272074519,0.675033336271093
436.950284090909,314.904829545455,704,0.934490929250904,0.563404305814794,834.153017241379,516.738505747126,1392,0.916787383046581,20.8857421192755,864.371723248818,78.5384615384615,2327,0.402070283131327,0.541373660288634
435.957419354839,314.569032258065,775,0.754210045244921,1.04811268590291,832.585513078471,519.70288397049,1491,0.693696866477251,3.3532980111951,863.677168576105,80.4271685761047,2444,0.447283645785544,2.01236688191571
435.931330472103,314.992846924177,699,0.859914529880087,0.424616887340548,825.4921875,518.2171875,1280,0.209893270692617,7.24724511553279,864.582832618026,79.0394849785408,2330,0.399081220959602,1.65707366274918
434.69835234474,315.757921419518,789,0.727497864906784,1.45105962867708,812.921658986175,516.570276497696,1736,0.854106460908188,12.677953421842,864.001307189542,78.8117647058824,2295,0.440752736500899,0.624522494832956
436.443965517241,314.978448275862,696,0.956041670967268,1.91173840514105,815.947505422993,524.593926247289,2305,0.833668605705661,8.57523772051509,864.772767075306,79.1764448336252,2284,0.411382158748482,0.853312340771856
435.755917159763,315.605029585799,676,0.902594183919329,0.930599097458356,816.520588235294,508.50931372549,2040,0.358425313850337,16.0948185415725,864.759133964817,79.6220117275598,2217,0.403055149403196,0.445775412816904
434.646638054363,314.181688125894,699,0.812461397880002,1.80455009494347,826.539568345324,513.007194244604,973,0.239074562124232,10.9822990129296,864.397175639894,79.0066195939982,2266,0.441724815003654,0.713947692083038
436.178470254958,314.376770538244,706,0.907533148209209,1.54420433828724,820.674166020171,518.143522110163,1289,0.189244803077602,7.79646127280991,864.647571035747,78.4573785517874,2182,0.419267042016485,0.603625361224362
437.165333333333,313.289333333333,750,0.845843705154671,1.46847485851291,829.511056511056,516.982186732187,1628,0.373313167204607,8.91287458725003,865.729128014842,77.6447124304267,2156,0.427698051797149,1.35284578716024
435.807065217391,313.384510869565,736,0.984712381444742,1.36159870673697,824.396694214876,515.420661157025,1210,0.177953319709565,5.34743525612769,865.367826904986,77.7619943555974,2126,0.42414994540883,0.379859897798133
435.912582781457,313.478145695364,755,0.868973517923818,0.141072452763667,820.306812767985,521.723201524536,2099,0.561737692110195,7.51326462556237,865.490178163545,78.6578346276839,2189,0.412550343817624,0.904156857831103
434.732323232323,315.228535353535,792,0.883493785246252,2.11113158252955,827.43893129771,515.959923664122,1048,0.232200089892007,9.16965028877221,864.614123006834,80.1243735763098,2195,0.418422203507264,1.70827665365929
435.390339425587,314.904699738903,766,0.988656167636561,0.733385857446146,830.88746223565,522.049093655589,1324,0.817222328867552,6.99788230930676,865.1015625,79.3492647058823,2176,0.407706175727228,0.915636947984059
436.021505376344,312.26747311828,744,0.947160731591601,2.71170328500769,815.928671984984,515.176912247771,2131,0.453616240310486,16.4618432462887,865.610728346457,77.2332677165354,2032,0.381654938070911,2.17639452262753
435.253947368421,313.051315789474,760,0.864469964990557,1.09706637388605,823.205761316872,519.122633744856,1215,0.197726372937118,8.27796758128764,865.562766461393,78.7475130270014,2111,0.386776559887128,1.51500468734823
435.405594405594,314.25034965035,715,0.973816663100589,1.20858554658355,826.675934803452,520.858101629914,1043,0.156349591263962,3.87994237161114,865.14481409002,78.7333659491194,2044,0.37351775479121,0.418191731803701
435.777316735823,314.665283540802,723,0.913574651868718,0.55708852459607,840.537168713639,516.920491273433,1547,0.642218376082548,14.409669698935,864.58138424821,78.9484486873508,2095,0.401606831165411,0.603086868474775
434.104945717732,312.433051869723,829,0.612815703601515,2.78920832056715,825.601503759398,521.476503759398,1064,0.24252568415835,15.6150996601884,864.224962999507,79.0162802170696,2027,0.357789475948201,0.36281844351028
435.487967914439,314.197860962567,748,0.919457498594071,2.24216447451302,825.17472698908,504.02496099844,641,0.284660896559269,17.4567603852848,865.262777242044,78.6856316297011,2074,0.387754277032329,1.08921388640738
434.490147783251,313.831280788177,812,0.92283002466236,1.06302682866332,824.26746031746,519.337301587302,1260,0.202765649967887,15.3391951263008,864.563573883162,79.5886107020128,2037,0.372393174908679,1.14204051684072
435.278709677419,313.892903225806,775,0.959760013488694,0.790965982677703,824.247736625514,520.104526748971,1215,0.237152131581406,0.767478646428047,864.043988269795,78.341642228739,2046,0.387612178803398,1.35088844208414
435.913992297818,314.939666238768,779,0.900241620419097,1.22445776288278,822.88986013986,510.027972027972,1144,0.214167733713052,10.1676341198719,864.007295719844,79.7169260700389,2056,0.372976657628997,1.37577323253597
434.474747474747,313.135642135642,693,0.975324126245595,2.30779735362368,822.69776119403,520.672574626866,1072,0.192454483420362,10.6463358247503,863.997002997003,78.1948051948052,2002,0.376390418031578,1.52215567501019
434.102614379085,316.316993464052,1530,0.590681193120363,3.20304219698471,817.476555023923,521.324880382775,2090,0.52997987607942,5.26179595479998,864.355029585799,77.3175542406312,2028,0.390946755492233,0.947497902311108
436.72114821324,317.551845342706,1707,0.764984521438602,2.89509561203568,828.740066225166,519.318708609272,1208,0.451931444372182,11.4407783723534,867.226865671642,79.8691542288557,2010,0.420941212529868,3.84162791064644
437.232794733692,319.414123279473,1671,0.77926002261834,1.93128487687864,824.057245080501,506.731663685152,559,0.32400971912706,13.4299111610882,867.646100691017,80.2709772951629,2026,0.386790505350623,0.580706275225936
437.473489519112,318.976572133169,1622,0.66807655951588,0.499384606651633,828.736175115207,519.595622119816,868,0.263359785426831,13.6884554599279,866.772793053546,79.9281234925229,2073,0.38171278103053,0.938197718847226
433.741988496302,314.955628594906,1217,0.641985934290894,5.48562547218938,826.76563876652,508.664317180617,1135,0.775776926309867,11.1074948199516,865.811066799601,80.2442671984048,2006,0.360812853816867,1.01235578246708
436.873129862358,320.301017354877,1671,0.735657495939219,6.19493561301945,836.040567951319,512.743407707911,986,0.491562141661028,10.1322895197921,865.709018435476,79.3388141504733,2007,0.353441869865201,0.911185541275217
437.231390652048,318.530294287363,1733,0.599701897670347,1.80660205226753,826.066217732884,514.830527497194,891,0.144185082822892,10.1903744433065,865.824747474747,79.7045454545455,1980,0.341196515237709,0.38360474098872
436.104695089045,318.116567728009,1853,0.727199895875349,1.20025520519897,826.150497512438,510.509950248756,804,0.511090782244478,4.32139917630396,866.026091319619,78.8509784244857,1993,0.342340044546697,0.8769925989839
430.99226006192,310.334365325077,1292,0.348497834912918,9.31126555022284,825.120464441219,505.658925979681,689,0.369341066376222,4.95917378067799,866.09965969859,77.7039377734565,2057,0.359367723749639,1.14939747759338
433.812720848057,315.901060070671,1415,0.696541377556315,6.24043984321303,833.382631126397,516.581255374033,1163,0.95621256913446,13.695279395923,866.04759543877,80.4833911750124,2017,0.367142308691773,2.77994098832535
438.424597364568,319.552464616886,2049,0.703405096066095,5.8823600844958,814.29359430605,525.064650059312,1686,0.974618844807161,20.8892152106009,865.451903807615,79.1202404809619,1996,0.355860118124105,1.48762506503441
437.119624320316,320.018783984182,2023,0.613043660479519,1.3857880063482,825.124439461883,512.150224215247,892,0.304510130365722,16.8549577772092,864.395138226883,79.9428026692088,2098,0.441468339041091,1.3391646822383
438.586306653809,320.661041465767,2074,0.675610102521215,1.60114076209158,837.368301026226,515.643101482326,877,0.759546484576131,12.7323343346639,867.12628992629,80.4722358722359,2035,0.340053219169214,2.78199373141678
432.368988391376,311.602819237148,1206,0.804543209762041,10.9866480930003,827.924050632911,512.03164556962,790,0.624100307666951,10.1112056304398,865.775063613232,80.4035623409669,1965,0.352593733225934,1.35297028903018
438.46185852982,316.705270457698,1442,0.932261098563324,7.94720548255968,838.660418168709,514.919250180245,1387,0.604379107757495,11.1179066487824,867.274725274725,79.2262737262737,2002,0.362203582537802,1.90656591316439
432.890763765542,310.767317939609,1126,0.542873906684265,8.14225871485532,833.930824008138,512.602238046795,983,0.591532876737799,5.26665037288998,866.748481781377,81.1467611336032,1976,0.383270689163653,1.99128202322098
436.618909090909,314.054545454545,1375,0.932571164634872,4.97040564763199,821.78,510.268333333333,1200,0.195975690551607,12.3729396381083,866.673058013766,79.2930186823992,2034,0.353976739494282,1.85527621127327
436.812541254125,314.580858085809,1515,0.979084529441179,0.560801569593863,826.603995299648,509.89776733255,851,0.667021888093591,4.8382072931984,865.951604686704,80.7697401935813,1963,0.364732181007877,1.64353318333294
428.62908680947,308.895152198422,887,0.933418605997932,9.96474676475092,823,508.622340425532,752,0.57436867813376,3.82302183031004,866.478372811535,81.0695159629248,1942,0.34860419810547,0.606094191708641
427.147435897436,305.882478632479,936,0.620547726156267,3.35730419236384,823.942542787286,506.449877750611,818,0.379359103778664,2.36811760260937,866.441161989168,80.9704579025111,2031,0.324706111159476,0.10581656124699
436.082861189802,315.449008498584,1412,0.978027745997093,13.0904667156877,839.408759124088,515.070559610706,1233,0.487765716061059,17.706496082221,866.476510067114,80.6602994321115,1937,0.348576200200483,0.312166243170339
432.01323407775,311.841191066998,1209,0.808941662216543,5.43858542736994,826.350864012021,518.882794891059,1331,0.33126501838306,13.6030056454633,866.002592016589,79.9118714359772,1929,0.371420225217239,0.885857090060938
434.286036036036,312.009009009009,1332,0.645831968890886,2.27898916260012,833.52176578786,518.426732066217,1631,0.908579005419737,7.18538973048343,865.628509719223,79.5226781857451,1852,0.344237581468283,0.539823074005829
428.375102375102,314.043407043407,1221,0.291053183662095,6.25123284691279,814.312931885489,525.158440276407,2026,0.943463371317012,20.3542426858882,865.800520833333,80.0083333333333,1920,0.359978018983876,0.515217183095197
429.356835769561,308.355975924334,1163,0.958796682685221,5.7715399324618,821.68,507.434074074074,675,0.575486278276338,19.1944484129719,865.566899516389,79.7399247716282,1861,0.360489910812327,0.355839958025224
430.193765796125,307.376579612468,1187,0.63672781864872,1.28828141531977,826.177389705882,520.935661764706,1088,0.224080692890453,14.2309305505436,865.960109289617,79.2737704918033,1830,0.344839433176769,0.609847307415021
,,,,,,,,,,,,,,
